file,name,display_scale,id1,id2,sample_index1,sample_index2,lowpass,highpass,color,input_source,jbox_pin1,jbox_pin2,analysis_type,sync_type,parser_reference,parser_source,parser_pins
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,1,99,0,ECG,()
00000000.log,II,100,1,255,1,,3000,50,15,ECG,255,255,0,100,1,ECG,()
00000000.log,III,100,8,255,8,,3000,50,15,ECG,255,255,0,0,8,ECG,()
00000000.log,aVR,100,9,255,9,,3000,50,15,ECG,255,255,0,0,9,ECG,()
00000000.log,aVL,100,10,255,10,,3000,50,15,ECG,255,255,0,0,10,ECG,()
00000000.log,aVF,100,11,255,11,,3000,50,15,ECG,255,255,0,0,11,ECG,()
00000000.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,100,2,ECG,()
00000000.log,V2,100,3,255,3,,3000,50,15,ECG,255,255,0,0,3,ECG,()
00000000.log,V3,100,4,255,4,,3000,50,15,ECG,255,255,0,0,4,ECG,()
00000000.log,V4,100,5,255,5,,3000,50,15,ECG,255,255,0,0,5,ECG,()
00000000.log,V5,100,6,255,6,,3000,50,15,ECG,255,255,0,0,6,ECG,()
00000000.log,V6,100,7,255,7,,3000,50,15,ECG,255,255,0,0,7,ECG,()
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,0,0,ECG,()
00000000.log,II,100,1,255,1,,3000,50,15,ECG,255,255,0,0,1,ECG,()
00000000.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,0,2,ECG,()
00000000.log,CS 7-8,50,65,64,13,12,30000,3000,10,JBOX,47,46,0,0,,,
00000000.log,CS 5-6,50,21,20,15,14,30000,3000,10,JBOX,9,8,0,0,,,
00000000.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000000.log,CS d,50,17,16,19,18,30000,3000,10,JBOX,5,4,0,0,,,
00000000.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000000.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000000.log,"PV 1,2",50,23,22,25,24,50000,3000,15,JBOX,11,10,0,0,,,
00000000.log,"PV 2,3",50,24,23,26,25,50000,3000,15,JBOX,12,11,0,0,,,
00000000.log,"PV 3,4",50,25,24,27,26,50000,3000,15,JBOX,13,12,0,0,,,
00000000.log,"PV 4,5",50,26,25,28,27,50000,3000,15,JBOX,14,13,0,0,,,
00000000.log,"PV 5,6",50,27,26,29,28,50000,3000,15,JBOX,15,14,0,0,,,
00000000.log,"PV 6,7",50,28,27,30,29,50000,3000,15,JBOX,16,15,0,0,,,
00000000.log,"PV 7,8",50,29,28,31,30,50000,3000,15,JBOX,17,16,0,0,,,
00000000.log,"PV 8,9",50,30,29,32,31,50000,3000,15,JBOX,18,17,0,0,,,
00000000.log,"PV 9,10",50,31,30,33,32,50000,3000,15,JBOX,19,18,0,0,,,
00000000.log,CS p,50,51,50,140,140,30000,3000,10,JBOX,39,38,0,0,,,
00000000.log,PV 10-1,50,22,31,24,33,50000,3000,15,JBOX,10,19,0,0,,,
00000000.log,RVA,100,43,42,140,140,30000,3000,13,JBOX,31,30,0,0,,,
00000000.log,STIM,100,55,255,40,,20000,0,15,SYNC,0,255,4,0,40,SYNC,"(0,)"
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,0,0,ECG,()
00000000.log,II,100,1,255,1,,3000,50,15,ECG,255,255,1,99,1,ECG,()
00000000.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,100,2,ECG,()
00000000.log,"CS 9,10",50,21,20,15,14,50000,3000,10,JBOX,9,8,0,0,,,
00000000.log,"CS 7,8",50,19,18,17,16,50000,3000,10,JBOX,7,6,0,0,,,
00000000.log,"CS 5,6",50,17,16,19,18,50000,3000,10,JBOX,5,4,0,0,,,
00000000.log,"CS 3,4",50,15,14,35,34,50000,3000,10,JBOX,3,2,0,0,,,
00000000.log,"CS 1,2",50,13,12,37,36,50000,3000,10,JBOX,1,0,0,0,,,
00000000.log,"ABL 1,2",40,69,68,21,20,50000,3000,14,JBOX,51,50,0,0,,,
00000000.log,"ABL 3,4",40,71,70,39,38,50000,3000,14,JBOX,53,52,0,0,,,
00000000.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000000.log,F 1-2,50,255,255,,,50000,3000,9,JBOX,78,79,0,0,,,
00000000.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000000.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000000.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000000.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
00000000.log,D 7-8,50,255,255,,,50000,3000,11,JBOX,88,89,0,0,,,
00000000.log,D 5-6,50,255,255,,,50000,3000,11,JBOX,90,91,0,0,,,
00000000.log,D 3-4,50,255,255,,,50000,3000,11,JBOX,92,93,0,0,,,
00000000.log,D 1-2,50,255,255,,,50000,3000,11,JBOX,94,95,0,0,,,
00000000.log,C 7-8,50,255,255,,,50000,3000,12,JBOX,96,97,0,0,,,
00000000.log,C 5-6,50,255,255,,,50000,3000,12,JBOX,98,99,0,0,,,
00000000.log,C 3-4,50,255,255,,,50000,3000,12,JBOX,100,101,0,0,,,
00000000.log,C 1-2,50,255,255,,,50000,3000,12,JBOX,103,102,0,0,,,
00000000.log,B 7-8,50,255,255,,,50000,3000,13,JBOX,104,105,0,0,,,
00000000.log,B 5-6,50,255,255,,,50000,3000,13,JBOX,106,107,0,0,,,
00000000.log,B 3-4,50,255,255,,,50000,3000,13,JBOX,108,109,0,0,,,
00000000.log,B 1-2,50,255,255,,,50000,3000,13,JBOX,110,111,0,0,,,
00000000.log,A 7-8,50,255,255,,,50000,3000,14,JBOX,112,113,0,0,,,
00000000.log,A 5-6,50,255,255,,,50000,3000,14,JBOX,114,115,0,0,,,
00000000.log,A 3-4,50,255,255,,,50000,3000,14,JBOX,116,117,0,0,,,
00000000.log,A 1-2,50,255,255,,,50000,3000,14,JBOX,118,119,0,0,,,
00000000.log,H 7-8,50,255,255,,,50000,3000,10,JBOX,56,57,0,0,,,
00000000.log,H 5-6,50,255,255,,,50000,3000,10,JBOX,58,59,0,0,,,
00000000.log,H 3-4,50,255,255,,,50000,3000,10,JBOX,61,60,0,0,,,
00000000.log,H 1-2,50,255,255,,,50000,3000,10,JBOX,62,63,0,0,,,
00000000.log,G 7-8,50,255,255,,,50000,3000,15,JBOX,64,65,0,0,,,
00000000.log,F 7-8,50,255,255,,,50000,3000,9,JBOX,72,73,0,0,,,
00000000.log,G 5-6,50,255,255,,,50000,3000,15,JBOX,66,67,0,0,,,
00000000.log,G 3-4,50,255,255,,,50000,3000,15,JBOX,68,69,0,0,,,
00000000.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000000.log,G 1-2,50,255,255,,,50000,3000,15,JBOX,70,71,0,0,,,
00000000.log,H 7-8,50,255,255,,,50000,3000,10,JBOX,56,57,0,0,,,
00000000.log,H 5-6,50,255,255,,,50000,3000,10,JBOX,58,59,0,0,,,
00000000.log,H 3-4,50,255,255,,,50000,3000,10,JBOX,61,60,0,0,,,
00000000.log,G 7-8,50,255,255,,,50000,3000,15,JBOX,64,65,0,0,,,
00000000.log,G 5-6,50,255,255,,,50000,3000,15,JBOX,66,67,0,0,,,
00000000.log,G 3-4,50,255,255,,,50000,3000,15,JBOX,68,69,0,0,,,
00000000.log,G 1-2,50,255,255,,,50000,3000,15,JBOX,70,71,0,0,,,
00000000.log,F 7-8,50,255,255,,,50000,3000,9,JBOX,72,73,0,0,,,
00000000.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000000.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000000.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000000.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000000.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000000.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
00000000.log,D 7-8,50,255,255,,,50000,3000,11,JBOX,88,89,0,0,,,
00000000.log,D 5-6,50,255,255,,,50000,3000,11,JBOX,90,91,0,0,,,
00000000.log,D 3-4,50,255,255,,,50000,3000,11,JBOX,92,93,0,0,,,
00000000.log,C 7-8,50,255,255,,,50000,3000,12,JBOX,96,97,0,0,,,
00000000.log,C 5-6,50,255,255,,,50000,3000,12,JBOX,98,99,0,0,,,
00000000.log,C 3-4,50,255,255,,,50000,3000,12,JBOX,100,101,0,0,,,
00000000.log,C 1-2,50,255,255,,,50000,3000,12,JBOX,103,102,0,0,,,
00000000.log,B 7-8,50,255,255,,,50000,3000,13,JBOX,104,105,0,0,,,
00000000.log,B 5-6,50,255,255,,,50000,3000,13,JBOX,106,107,0,0,,,
00000000.log,B 3-4,50,255,255,,,50000,3000,13,JBOX,108,109,0,0,,,
00000000.log,A 7-8,50,255,255,,,50000,3000,14,JBOX,112,113,0,0,,,
00000000.log,A 5-6,50,255,255,,,50000,3000,14,JBOX,114,115,0,0,,,
00000000.log,A 3-4,50,255,255,,,50000,3000,14,JBOX,116,117,0,0,,,
00000000.log,A 1-2,50,255,255,,,50000,3000,14,JBOX,118,119,0,0,,,
00000000.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000000.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000000.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,99,0,ECG,()
00000000.log,D 7-8,50,255,255,,,50000,3000,11,JBOX,88,89,0,0,,,
00000000.log,D 6-7,50,255,255,,,50000,3000,11,JBOX,89,90,0,0,,,
00000000.log,D 5-6,50,255,255,,,50000,3000,11,JBOX,90,91,0,0,,,
00000000.log,D 4-5,50,255,255,,,50000,3000,11,JBOX,91,92,0,0,,,
00000000.log,D 3-4,50,255,255,,,50000,3000,11,JBOX,92,93,0,0,,,
00000000.log,D 2-3,50,255,255,,,50000,3000,11,JBOX,93,94,0,0,,,
00000000.log,D 1-2,50,255,255,,,50000,3000,11,JBOX,94,95,0,0,,,
00000000.log,C 7-8,50,255,255,,,50000,3000,12,JBOX,96,97,0,0,,,
00000000.log,C 6-7,50,255,255,,,50000,3000,12,JBOX,97,98,0,0,,,
00000000.log,C 5-6,50,255,255,,,50000,3000,12,JBOX,98,99,0,0,,,
00000000.log,C 4-5,50,255,255,,,50000,3000,12,JBOX,99,100,0,0,,,
00000000.log,C 3-4,50,255,255,,,50000,3000,12,JBOX,100,101,0,0,,,
00000000.log,C 2-3,50,255,255,,,50000,3000,12,JBOX,101,102,0,0,,,
00000000.log,C 1-2,50,255,255,,,50000,3000,12,JBOX,103,102,0,0,,,
00000000.log,B 7-8,50,255,255,,,50000,3000,13,JBOX,104,105,0,0,,,
00000000.log,B 6-7,50,255,255,,,50000,3000,13,JBOX,105,106,0,0,,,
00000000.log,B 5-6,50,255,255,,,50000,3000,13,JBOX,106,107,0,0,,,
00000000.log,B 4-5,50,255,255,,,50000,3000,13,JBOX,107,108,0,0,,,
00000000.log,B 3-4,50,255,255,,,50000,3000,13,JBOX,108,109,0,0,,,
00000000.log,B 2-3,50,255,255,,,50000,3000,13,JBOX,109,110,0,0,,,
00000000.log,B 1-2,50,255,255,,,50000,3000,13,JBOX,110,111,0,0,,,
00000000.log,A 7-8,50,255,255,,,50000,3000,14,JBOX,112,113,0,0,,,
00000000.log,A 6-7,50,255,255,,,50000,3000,14,JBOX,113,114,0,0,,,
00000000.log,A 5-6,50,255,255,,,50000,3000,14,JBOX,114,115,0,0,,,
00000000.log,A 4-5,50,255,255,,,50000,3000,14,JBOX,115,116,0,0,,,
00000000.log,A 3-4,50,255,255,,,50000,3000,14,JBOX,116,117,0,0,,,
00000000.log,A 2-3,50,255,255,,,50000,3000,14,JBOX,117,118,0,0,,,
00000000.log,A 1-2,50,255,255,,,50000,3000,14,JBOX,118,119,0,0,,,
00000000.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000000.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000000.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,1,99,0,ECG,()
00000000.log,H 7-8,50,255,255,,,50000,3000,10,JBOX,56,57,0,0,,,
00000000.log,H 6-7,50,255,255,,,50000,3000,1,JBOX,57,58,0,0,,,
00000000.log,H 5-6,50,255,255,,,50000,3000,10,JBOX,58,59,0,0,,,
00000000.log,H 4-5,50,255,255,,,50000,3000,1,JBOX,59,60,0,0,,,
00000000.log,H 3-4,50,255,255,,,50000,3000,10,JBOX,61,60,0,0,,,
00000000.log,H 2-3,50,255,255,,,50000,3000,1,JBOX,61,62,0,0,,,
00000000.log,H 1-2,50,255,255,,,50000,3000,10,JBOX,62,63,0,0,,,
00000000.log,G 7-8,50,255,255,,,50000,3000,15,JBOX,64,65,0,0,,,
00000000.log,G 6-7,50,255,255,,,50000,3000,15,JBOX,65,66,0,0,,,
00000000.log,G 5-6,50,255,255,,,50000,3000,15,JBOX,66,67,0,0,,,
00000000.log,G 4-5,50,255,255,,,50000,3000,15,JBOX,67,68,0,0,,,
00000000.log,G 3-4,50,255,255,,,50000,3000,15,JBOX,68,69,0,0,,,
00000000.log,G 2-3,50,255,255,,,50000,3000,15,JBOX,69,70,0,0,,,
00000000.log,G 1-2,50,255,255,,,50000,3000,15,JBOX,70,71,0,0,,,
00000000.log,F 7-8,50,255,255,,,50000,3000,9,JBOX,72,73,0,0,,,
00000000.log,F 6-7,50,255,255,,,50000,3000,9,JBOX,73,74,0,0,,,
00000000.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000000.log,F 4-5,50,255,255,,,50000,3000,9,JBOX,75,76,0,0,,,
00000000.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000000.log,F 2-3,50,255,255,,,50000,3000,9,JBOX,77,78,0,0,,,
00000000.log,F 1-2,50,255,255,,,50000,3000,9,JBOX,78,79,0,0,,,
00000000.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000000.log,E 6-7,50,255,255,,,50000,3000,10,JBOX,73,74,0,0,,,
00000000.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000000.log,E 4-5,50,255,255,,,50000,3000,10,JBOX,75,76,0,0,,,
00000000.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000000.log,E 2-3,50,255,255,,,50000,3000,10,JBOX,85,86,0,0,,,
00000000.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
00000000.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000000.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000000.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,1,99,0,ECG,()
00000000.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,0,0,ECG,()
00000000.log,II,100,1,255,1,,3000,50,15,ECG,255,255,1,99,1,ECG,()
00000000.log,III,100,8,255,8,,3000,50,15,ECG,255,255,0,0,8,ECG,()
00000000.log,aVR,100,9,255,9,,3000,50,15,ECG,255,255,0,0,9,ECG,()
00000000.log,aVL,100,10,255,10,,3000,50,15,ECG,255,255,0,0,10,ECG,()
00000000.log,aVF,100,11,255,11,,3000,50,15,ECG,255,255,0,0,11,ECG,()
00000000.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,100,2,ECG,()
00000000.log,V2,100,3,255,3,,3000,50,15,ECG,255,255,0,0,3,ECG,()
00000000.log,V3,100,4,255,4,,3000,50,15,ECG,255,255,0,0,4,ECG,()
00000000.log,V4,100,5,255,5,,3000,50,15,ECG,255,255,0,0,5,ECG,()
00000000.log,V5,100,6,255,6,,3000,50,15,ECG,255,255,0,0,6,ECG,()
00000000.log,V6,100,7,255,7,,3000,50,15,ECG,255,255,0,0,7,ECG,()
00000000.log,STIM,100,55,255,40,,20000,0,15,SYNC,0,255,4,0,40,SYNC,"(0,)"
00000001.log,I,100,0,255,0,,3000,50,15,ECG,255,255,1,99,0,ECG,()
00000001.log,II,100,1,255,1,,3000,50,15,ECG,255,255,0,100,1,ECG,()
00000001.log,III,100,8,255,8,,3000,50,15,ECG,255,255,0,0,8,ECG,()
00000001.log,aVR,100,9,255,9,,3000,50,15,ECG,255,255,0,0,9,ECG,()
00000001.log,aVL,100,10,255,10,,3000,50,15,ECG,255,255,0,0,10,ECG,()
00000001.log,aVF,100,11,255,11,,3000,50,15,ECG,255,255,0,0,11,ECG,()
00000001.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,100,2,ECG,()
00000001.log,V2,100,3,255,3,,3000,50,15,ECG,255,255,0,0,3,ECG,()
00000001.log,V3,100,4,255,4,,3000,50,15,ECG,255,255,0,0,4,ECG,()
00000001.log,V4,100,5,255,5,,3000,50,15,ECG,255,255,0,0,5,ECG,()
00000001.log,V5,100,6,255,6,,3000,50,15,ECG,255,255,0,0,6,ECG,()
00000001.log,V6,100,7,255,7,,3000,50,15,ECG,255,255,0,0,7,ECG,()
00000001.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,0,0,ECG,()
00000001.log,II,100,1,255,1,,3000,50,15,ECG,255,255,0,0,1,ECG,()
00000001.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,0,2,ECG,()
00000001.log,CS 7-8,50,65,64,13,12,30000,3000,10,JBOX,47,46,0,0,,,
00000001.log,CS 5-6,50,21,20,15,14,30000,3000,10,JBOX,9,8,0,0,,,
00000001.log,CS 3-4,50,19,18,17,16,30000,3000,10,JBOX,7,6,0,0,,,
00000001.log,CS d,50,17,16,19,18,30000,3000,10,JBOX,5,4,0,0,,,
00000001.log,ABLd,50,69,68,21,20,30000,3000,14,JBOX,51,50,0,0,,,
00000001.log,ABLp,50,73,72,23,22,30000,3000,14,JBOX,55,54,0,0,,,
00000001.log,"PV 1,2",50,33,32,25,24,50000,3000,15,JBOX,21,20,0,0,,,
00000001.log,"PV 2,3",50,34,33,26,25,50000,3000,15,JBOX,22,21,0,0,,,
00000001.log,"PV 3,4",50,35,34,27,26,50000,3000,15,JBOX,23,22,0,0,,,
00000001.log,"PV 4,5",50,36,35,28,27,50000,3000,15,JBOX,24,23,0,0,,,
00000001.log,"PV 5,6",50,37,36,29,28,50000,3000,15,JBOX,25,24,0,0,,,
00000001.log,"PV 6,7",50,38,37,30,29,50000,3000,15,JBOX,26,25,0,0,,,
00000001.log,"PV 7,8",50,39,38,31,30,50000,3000,15,JBOX,27,26,0,0,,,
00000001.log,"PV 8,9",50,40,39,32,31,50000,3000,15,JBOX,28,27,0,0,,,
00000001.log,"PV 9,10",50,41,40,33,32,50000,3000,15,JBOX,29,28,0,0,,,
00000001.log,CS p,50,51,50,140,140,30000,3000,10,JBOX,39,38,0,0,,,
00000001.log,PV 10-1,50,22,31,140,140,50000,3000,15,JBOX,10,19,0,0,,,
00000001.log,RVA,100,43,42,140,140,30000,3000,13,JBOX,31,30,0,0,,,
00000001.log,STIM,100,55,255,40,,20000,0,15,SYNC,0,255,4,0,40,SYNC,"(0,)"
00000001.log,I,100,0,255,0,,3000,50,15,ECG,255,255,0,0,0,ECG,()
00000001.log,II,100,1,255,1,,3000,50,15,ECG,255,255,1,99,1,ECG,()
00000001.log,V1,100,2,255,2,,3000,50,15,ECG,255,255,0,100,2,ECG,()
00000001.log,"CS 9,10",50,21,20,15,14,50000,3000,10,JBOX,9,8,0,0,,,
00000001.log,"CS 7,8",50,19,18,17,16,50000,3000,10,JBOX,7,6,0,0,,,
00000001.log,"CS 5,6",50,17,16,19,18,50000,3000,10,JBOX,5,4,0,0,,,
00000001.log,"CS 3,4",50,15,14,35,34,50000,3000,10,JBOX,3,2,0,0,,,
00000001.log,"CS 1,2",50,13,12,37,36,50000,3000,10,JBOX,1,0,0,0,,,
00000001.log,"ABL 1,2",40,69,68,21,20,50000,3000,14,JBOX,51,50,0,0,,,
00000001.log,"ABL 3,4",40,71,70,39,38,50000,3000,14,JBOX,53,52,0,0,,,
00000001.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000001.log,F 1-2,50,255,255,,,50000,3000,9,JBOX,78,79,0,0,,,
00000001.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000001.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000001.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000001.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
00000001.log,D 7-8,50,255,255,,,50000,3000,11,JBOX,88,89,0,0,,,
00000001.log,D 5-6,50,255,255,,,50000,3000,11,JBOX,90,91,0,0,,,
00000001.log,D 3-4,50,255,255,,,50000,3000,11,JBOX,92,93,0,0,,,
00000001.log,D 1-2,50,255,255,,,50000,3000,11,JBOX,94,95,0,0,,,
00000001.log,C 7-8,50,255,255,,,50000,3000,12,JBOX,96,97,0,0,,,
00000001.log,C 5-6,50,255,255,,,50000,3000,12,JBOX,98,99,0,0,,,
00000001.log,C 3-4,50,255,255,,,50000,3000,12,JBOX,100,101,0,0,,,
00000001.log,C 1-2,50,255,255,,,50000,3000,12,JBOX,103,102,0,0,,,
00000001.log,B 7-8,50,255,255,,,50000,3000,13,JBOX,104,105,0,0,,,
00000001.log,B 5-6,50,255,255,,,50000,3000,13,JBOX,106,107,0,0,,,
00000001.log,B 3-4,50,255,255,,,50000,3000,13,JBOX,108,109,0,0,,,
00000001.log,B 1-2,50,255,255,,,50000,3000,13,JBOX,110,111,0,0,,,
00000001.log,A 7-8,50,255,255,,,50000,3000,14,JBOX,112,113,0,0,,,
00000001.log,A 5-6,50,255,255,,,50000,3000,14,JBOX,114,115,0,0,,,
00000001.log,A 3-4,50,255,255,,,50000,3000,14,JBOX,116,117,0,0,,,
00000001.log,A 1-2,50,255,255,,,50000,3000,14,JBOX,118,119,0,0,,,
00000001.log,H 7-8,50,255,255,,,50000,3000,10,JBOX,56,57,0,0,,,
00000001.log,H 5-6,50,255,255,,,50000,3000,10,JBOX,58,59,0,0,,,
00000001.log,H 3-4,50,255,255,,,50000,3000,10,JBOX,61,60,0,0,,,
00000001.log,H 1-2,50,255,255,,,50000,3000,10,JBOX,62,63,0,0,,,
00000001.log,G 7-8,50,255,255,,,50000,3000,15,JBOX,64,65,0,0,,,
00000001.log,F 7-8,50,255,255,,,50000,3000,9,JBOX,72,73,0,0,,,
00000001.log,G 5-6,50,255,255,,,50000,3000,15,JBOX,66,67,0,0,,,
00000001.log,G 3-4,50,255,255,,,50000,3000,15,JBOX,68,69,0,0,,,
00000001.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000001.log,G 1-2,50,255,255,,,50000,3000,15,JBOX,70,71,0,0,,,
00000001.log,H 7-8,50,255,255,,,50000,3000,10,JBOX,56,57,0,0,,,
00000001.log,H 5-6,50,255,255,,,50000,3000,10,JBOX,58,59,0,0,,,
00000001.log,H 3-4,50,255,255,,,50000,3000,10,JBOX,61,60,0,0,,,
00000001.log,G 7-8,50,255,255,,,50000,3000,15,JBOX,64,65,0,0,,,
00000001.log,G 5-6,50,255,255,,,50000,3000,15,JBOX,66,67,0,0,,,
00000001.log,G 3-4,50,255,255,,,50000,3000,15,JBOX,68,69,0,0,,,
00000001.log,G 1-2,50,255,255,,,50000,3000,15,JBOX,70,71,0,0,,,
00000001.log,F 7-8,50,255,255,,,50000,3000,9,JBOX,72,73,0,0,,,
00000001.log,F 5-6,50,255,255,,,50000,3000,9,JBOX,74,75,0,0,,,
00000001.log,F 3-4,50,255,255,,,50000,3000,9,JBOX,76,77,0,0,,,
00000001.log,E 7-8,50,255,255,,,50000,3000,10,JBOX,80,81,0,0,,,
00000001.log,E 5-6,50,255,255,,,50000,3000,10,JBOX,82,83,0,0,,,
00000001.log,E 3-4,50,255,255,,,50000,3000,10,JBOX,84,85,0,0,,,
00000001.log,E 1-2,50,255,255,,,50000,3000,10,JBOX,86,87,0,0,,,
